"local_file","property_or_address","category","selection_role","source_page_or_local_source","original_asset_url","accessed_date","qa_notes"
"subjects\1623-menlo\1623-menlo-living-dining.jpg","1623 Menlo Ave, Los Angeles, CA 90006","subject","Interior gallery","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\1623 Menlo\02_Extracted_Data\Historical_MLS_Images\2022_units_6_7_interior_living_dining_01.jpg","","2026-07-30","Exact saved MLS interior; 1080x720."
"subjects\1623-menlo\1623-menlo-kitchen.jpg","1623 Menlo Ave, Los Angeles, CA 90006","subject","Interior gallery","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\1623 Menlo\02_Extracted_Data\Historical_MLS_Images\2022_units_6_7_interior_kitchen_05.jpg","","2026-07-30","Exact saved MLS interior; 1080x720."
"subjects\1623-menlo\1623-menlo-bedroom.jpg","1623 Menlo Ave, Los Angeles, CA 90006","subject","Interior gallery","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\1623 Menlo\02_Extracted_Data\Historical_MLS_Images\2022_units_6_7_interior_bedroom_09.jpg","","2026-07-30","Exact saved MLS interior; 1080x720."
"subjects\1623-menlo\1623-menlo-bathroom.jpg","1623 Menlo Ave, Los Angeles, CA 90006","subject","Interior gallery","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\1623 Menlo\02_Extracted_Data\Historical_MLS_Images\2022_units_6_7_interior_bathroom_11.jpg","","2026-07-30","Exact saved MLS interior; 1080x720."
"subjects\1623-menlo\1623-menlo-gated-yard.jpg","1623 Menlo Ave, Los Angeles, CA 90006","subject","Exterior/physical-detail gallery","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\1623 Menlo\02_Extracted_Data\Historical_MLS_Images\2022_units_6_7_exterior_gated_yard_17.jpg","","2026-07-30","Exact saved MLS image; 1080x720."
"comps\359-parke\826-n-summit-ave.jpg","826 N Summit Ave, Pasadena, CA","sold comp","Primary comp image","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\359 Parke\02_Extracted_Data\Sale_Comps\Hero_Images\sold_826_N_Summit_Ave_hero.jpg","","2026-07-30","Exact saved MLS comp hero; 960x720."
"comps\359-parke\965-n-summit-ave.jpg","965 N Summit Ave, Pasadena, CA","sold comp","Primary comp image","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\359 Parke\02_Extracted_Data\Sale_Comps\Hero_Images\sold_965_N_Summit_Ave_hero.jpg","","2026-07-30","Exact saved MLS comp hero; 1080x720."
"comps\359-parke\1757-e-villa-st.jpg","1757 E Villa St, Pasadena, CA 91106","sold comp","Preferred exterior comp image","https://www.loopnet.com/Listing/1757-E-Villa-St-Pasadena-CA/37747717/","https://images1.loopnet.com/i2/f_LFLPkcgAnm1Ebg7jhP1ubjox1ShHel4vycWHTSMWw/110/1757-E-Villa-St-Pasadena-CA-Primary-Photo-1-Large.jpg","2026-07-30","Exact strong exterior; 884x588; competing-broker watermark at bottom right, so publish only with a card crop that excludes the watermark."
"comps\359-parke\1757-e-villa-st-zillow.jpg","1757 E Villa St, Pasadena, CA 91106","sold comp","Unbranded fallback","https://www.zillow.com/homedetails/1757-E-Villa-St-Pasadena-CA-91106/250338948_zpid/","https://photos.zillowstatic.com/fp/228f888c7312aad5fb080a054ae19faa-cc_ft_960.jpg","2026-07-30","Exact property parking/carport image; 960x681; use only if the preferred exterior cannot be safely cropped."
"comps\359-parke\696-earlham-st.jpg","696 Earlham St, Pasadena, CA","sold comp","Primary comp image","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\359 Parke\02_Extracted_Data\Sale_Comps\Hero_Images\sold_696_Earlham_St_hero.jpg","","2026-07-30","Exact saved MLS comp hero; 640x640."
"comps\359-parke\679-earlham-st.jpg","679 Earlham St, Pasadena, CA","sold comp","Primary comp image","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\359 Parke\02_Extracted_Data\Sale_Comps\Hero_Images\sold_679_Earlham_St_hero.jpg","","2026-07-30","Exact saved MLS comp hero; 640x427."
"comps\359-parke\423-n-garfield-ave.jpg","423 N Garfield Ave, Pasadena, CA","sold comp","Primary comp image","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\359 Parke\02_Extracted_Data\Sale_Comps\Hero_Images\sold_423_N_Garfield_Ave_hero.jpg","","2026-07-30","Exact saved MLS comp hero; 640x427."
"comps\1623-menlo\1038-dewey-ave-sold.jpg","1038 Dewey Ave, Los Angeles, CA","sold comp","Primary comp image","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\1623 Menlo\02_Extracted_Data\Sale_Comps\Hero_Images\closed_1038_Dewey_Ave_hero.jpg","","2026-07-30","Exact saved MLS comp hero; 1080x720."
"comps\1623-menlo\843-s-ardmore-ave-sold.jpg","843 S Ardmore Ave, Los Angeles, CA","sold comp","Primary comp image","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\1623 Menlo\02_Extracted_Data\Sale_Comps\Hero_Images\closed_843_S_Ardmore_Ave_hero.jpg","","2026-07-30","Exact saved MLS comp hero; 480x640 portrait; use a center crop."
"comps\1623-menlo\1056-dewey-ave-active.jpg","1056 Dewey Ave, Los Angeles, CA","active comp","Primary active-comp image","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\1623 Menlo\02_Extracted_Data\Sale_Comps\Hero_Images\active_1056_Dewey_Ave_hero.jpg","","2026-07-30","Exact saved MLS active-comp hero; 1080x720."
"comps\1623-menlo\955-s-normandie-ave-active.jpg","955 S Normandie Ave, Los Angeles, CA","active comp","Primary active-comp image","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\1623 Menlo\02_Extracted_Data\Sale_Comps\Hero_Images\active_955_S_Normandie_Ave_hero.jpg","","2026-07-30","Exact saved MLS active-comp hero; 1080x720."
"rent-comps\359-parke\570-n-los-robles-ave.webp","570 N Los Robles Ave, Pasadena, CA","rent comp","Verified real rent-comp exterior","https://www.apartments.com/570-los-robles-pasadena-ca/rkv62s0/","https://images1.apartments.com/i2/RlTIcWq3gcpUs06b5VhQTMN_8jCCFoQE5tqy5Yx6pUA/111/570-n-los-robles-ave-pasadena-ca-primary-photo.jpg?p=1","2026-07-30","Exact property exterior; 1240x826; downloaded payload is WebP."
"rent-comps\1623-menlo\1037-dewey-ave.jpg","1037 Dewey Ave, Los Angeles, CA","rent comp","Verified real rent-comp exterior","https://www.orion1037dewey.com/","https://lirp.cdn-website.com/ad7e36e9/dms3rep/multi/opt/1.0+%281%29+%281%29-1920w.jpg","2026-07-30","Exact property exterior; 1920x1280; do not substitute the site's separate 3D-rendering asset."
"rent-comps\1623-menlo\1037-dewey-ave-interior.jpg","1037 Dewey Ave, Los Angeles, CA","rent comp","Verified real rent-comp interior","https://www.orion1037dewey.com/","https://lirp.cdn-website.com/ad7e36e9/dms3rep/multi/opt/10-1920w.jpg","2026-07-30","Exact property interior; 1920x1280."
"rent-comps\1623-menlo\2231-ellendale-pl.webp","2231 Ellendale Pl, Los Angeles, CA","rent comp","Verified real rent-comp interior","https://www.zillow.com/homedetails/2231-Ellendale-Pl-15-Los-Angeles-CA-90007/459983969_zpid/","https://photos.zillowstatic.com/fp/aff365e96b412a2aa1197d968fa15d8a-cc_ft_768.webp","2026-07-30","Exact property/unit interior; 768x576."
"rent-comps\1623-menlo\980-menlo-ave.jpg","980 Menlo Ave, Los Angeles, CA","rent comp","Verified real rent-comp exterior","https://www.alpinelaproperties.com/property-page/980-menlo","https://irp.cdn-website.com/e952a558/dms3rep/multi/opt/980+S+Menlo-67-0197ae57-1920w.jpg","2026-07-30","Exact property exterior; 1920x1134."
"laaa-proof\6860-woodley-ave.jpg","6860 Woodley Ave, Van Nuys, CA","LAAA own sale","Recent seven-unit proof for Menlo","C:\Users\gscher\laaa-platform\data\deal-stories.json","https://8vshqz8guh7wmcow.public.blob.vercel-storage.com/om/6860-woodley-ave/hero-6860-woodley-ave-bp0wR2JHAycEotzAzQ7j9IRs711D2K.jpg","2026-07-30","Live deal-story hero; 1600x1068; seven units; sold 2026-06-26."
"laaa-proof\1010-s-bedford-st.jpg","1010 S Bedford St, Los Angeles, CA","LAAA own sale","Recent central-LA scale/process proof for Menlo","C:\Users\gscher\laaa-platform\data\deal-stories.json","https://8vshqz8guh7wmcow.public.blob.vercel-storage.com/om/1010-s-bedford/hero-1010-s-bedford-VIDy44KGAyU9KOlNNWKsds86Tjkt7Z.jpeg","2026-07-30","Live deal-story hero; 1200x675; 12 units; sold 2026-05-22."
"laaa-proof\260-linda-rosa-ave.jpg","260 Linda Rosa Ave, Pasadena, CA","LAAA own sale","Same-city seven-unit proof for Parke","C:\Users\gscher\laaa-platform\data\deal-stories.json","https://mcusercontent.com/0b5d4d899b5dca03eeee8ed95/images/fe040297-ebbf-a973-57bd-067a729571b7.jpg","2026-07-30","Live deal-story hero; 600x400; seven units; sold 2021-12-10."
"laaa-proof\4123-ocean-view-blvd.jpg","4123 Ocean View Blvd, Montrose, CA","LAAA own sale","Recent nearby six-unit proof for Parke","C:\Users\gscher\laaa-platform\data\deal-stories.json","https://8vshqz8guh7wmcow.public.blob.vercel-storage.com/om/4123-ocean-view/hero-4123-ocean-view-v8Vhn3M8Dka6mludKukr3xY5MMntmB.jpeg","2026-07-30","Live deal-story hero; 1200x675; six units; sold 2026-03-31."
